Activity_Type,Date,Favorite,Title,Distance,Calories,Time,Avg_HR,Max_HR,Avg Run Cadence,Max Run Cadence,Avg_Pace,Best_Pace,Elev_Gain,Elev_Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-11-09 10:02:29,false,Montreal Running,4.35,362,00:28:38,137,157,144,158,9.1,1:58,9,9,1.05,0,0,0,0,0,0:00,0,0:00,No,01:59.51,5,0
Cycling,2019-10-26 15:33:34,false,Montreal Cycling,41.81,1455,01:38:23,160,187,--,--,25.5,39.5,103,102,0,0,0,0,0,0,0:00,0,0:00,No,04:31.60,9,0
Cycling,2019-10-23 16:26:36,false,Montreal Cycling,46.16,1671,01:43:56,169,191,--,--,26.6,44.4,99,98,0,0,0,0,0,0,0:00,0,0:00,No,03:11.24,10,0
Cycling,2019-10-19 15:16:31,false,Montreal Cycling,40.16,1236,01:39:52,147,178,--,--,24.1,37.1,94,96,0,0,0,0,0,0,0:00,0,0:00,No,00:29.35,9,0
Cycling,2019-10-05 08:18:43,false,Montreal Cycling,49.13,1546,01:52:43,156,183,--,--,26.2,38.8,77,69,0,0,0,0,0,0,0:00,0,0:00,No,10:11.95,10,0
Cycling,2019-09-26 19:20:53,false,Montreal Cycling,20.88,683,00:49:26,151,181,--,--,25.3,36.7,83,82,0,0,0,0,0,0,0:00,0,0:00,No,03:09.58,5,0
Cycling,2019-09-10 14:50:45,false,Montreal Cycling,5.86,202,00:16:56,130,142,--,--,20.7,34.1,2,58,0,0,0,0,0,0,0:00,0,0:00,No,03:03.54,2,0
Cycling,2019-09-10 10:45:45,false,Montreal Cycling,5.78,226,00:14:24,151,167,--,--,24.1,37.5,48,1,0,0,0,0,0,0,0:00,0,0:00,No,02:11.10,2,0
Cycling,2019-09-10 07:39:03,false,Montreal Cycling,53.11,1697,01:55:42,160,184,--,--,27.5,42.8,118,119,0,0,0,0,0,0,0:00,0,0:00,No,07:10.36,11,0
Cycling,2019-09-06 08:47:42,false,Montreal Cycling,5.58,174,00:15:06,128,146,--,--,22.2,41.3,40,--,0,0,0,0,0,0,0:00,0,0:00,No,02:18.69,2,0
